POLLINATOR_NAME,PLANT_NAME,Group
Andrena bicolor,Veronica chamaedrys,Bee
Andrena bicolor,Veronica officinalis,Bee
Andrena bicolor,Veronica persica,Bee
Andrena bicolor,Veronica spicata,Bee
Andrena bicolor,Viola arvensis,Bee
Andrena bicolor,Viola hirta,Bee
Andrena bicolor,Viola odorata,Bee
Andrena bicolor,Viola riviniana,Bee
Andrena bicolor,Viola tricolor,Bee
Andrena bimaculata,Heracleum sphondylium,Bee
Andrena bimaculata,Rubus caesius,Bee
Andrena bimaculata,Rubus fruticosus,Bee
Andrena bimaculata,Rubus idaeus,Bee
Andrena bimaculata,Rubus spectabilis,Bee
Andrena bucephala,Acer campestre,Bee
Andrena bucephala,Acer pseudoplatanus,Bee
Andrena bucephala,Crataegus monogyna,Bee
Andrena carantonica,Acer campestre,Bee
Andrena carantonica,Acer platanoides,Bee
Andrena carantonica,Angelica sylvestris,Bee
Andrena carantonica,Brassica napus,Bee
Andrena carantonica,Bryonia dioica,Bee
Andrena carantonica,Cotoneaster bullatus,Bee
Andrena carantonica,Cotoneaster horizontalis,Bee
Andrena carantonica,Cotoneaster simonsii,Bee
Andrena carantonica,Crataegus monogyna,Bee
Andrena carantonica,Euphorbia amygdaloides,Bee
Andrena carantonica,Heracleum sphondylium,Bee
Andrena carantonica,Ilex aquifolium,Bee
Andrena carantonica,Laurus nobilis,Bee
Andrena carantonica,Pilosella aurantiaca,Bee
Andrena carantonica,Pilosella officinarum,Bee
Andrena carantonica,Prunus avium,Bee
Andrena carantonica,Prunus cerasifera,Bee
Andrena carantonica,Prunus cerasus,Bee
Andrena carantonica,Prunus domestica,Bee
Andrena carantonica,Prunus laurocerasus,Bee
Andrena carantonica,Prunus padus,Bee
Andrena carantonica,Prunus spinosa,Bee
Andrena carantonica,Salix alba,Bee
Andrena carantonica,Salix aurita,Bee
Andrena carantonica,Salix caprea,Bee
Andrena carantonica,Salix cinerea,Bee
Andrena carantonica,Salix fragilis,Bee
Andrena carantonica,Salix pentandra,Bee
Andrena carantonica,Salix repens,Bee
Andrena carantonica,Salix viminalis,Bee
Andrena carantonica,Smyrnium olusatrum,Bee
Andrena carantonica,Taraxacum,Bee
Andrena carantonica,Ulex europaeus,Bee
Andrena carantonica,Vaccinium myrtillus,Bee
Andrena carantonica,Vaccinium uliginosum,Bee
Andrena carantonica,Vaccinium vitis-idaea,Bee
Andrena carantonica,Vicia faba,Bee
Andrena chrysosceles,Acer campestre,Bee
Andrena chrysosceles,Acer platanoides,Bee
Andrena chrysosceles,Acer pseudoplatanus,Bee
Andrena chrysosceles,Aesculus hippocastanum,Bee
Andrena chrysosceles,Anthriscus sylvestris,Bee
Andrena chrysosceles,Barbarea vulgaris,Bee
Andrena chrysosceles,Bellis perennis,Bee
Andrena chrysosceles,Brassica napus,Bee
Andrena chrysosceles,Conium maculatum,Bee
Andrena chrysosceles,Conopodium majus,Bee
Andrena chrysosceles,Cornus sanguinea,Bee
Andrena chrysosceles,Crataegus monogyna,Bee
Andrena chrysosceles,Euphorbia amygdaloides,Bee
Andrena chrysosceles,Euphorbia hyberna,Bee
Andrena chrysosceles,Euphorbia paralias,Bee
Andrena chrysosceles,Euphorbia portlandica,Bee
Andrena chrysosceles,Ficaria verna,Bee
Andrena chrysosceles,Filipendula vulgaris,Bee
Andrena chrysosceles,Heracleum sphondylium,Bee
Andrena chrysosceles,Malus domestica,Bee
Andrena chrysosceles,Malus sylvestris,Bee
Andrena chrysosceles,Narcissus pseudonarcissus,Bee
Andrena chrysosceles,Oenanthe crocata,Bee
Andrena chrysosceles,Oenanthe pimpinelloides,Bee
Andrena chrysosceles,Oenanthe silaifolia,Bee
Andrena chrysosceles,Prunus domestica,Bee
Andrena chrysosceles,Prunus spinosa,Bee
Andrena chrysosceles,Pyrus communis,Bee
Andrena chrysosceles,Ranunculus repens,Bee
Andrena chrysosceles,Salix alba,Bee
Andrena chrysosceles,Salix aurita,Bee
Andrena chrysosceles,Salix caprea,Bee
Andrena chrysosceles,Salix cinerea,Bee
Andrena chrysosceles,Salix fragilis,Bee
Andrena chrysosceles,Salix pentandra,Bee
Andrena chrysosceles,Salix repens,Bee
Andrena chrysosceles,Salix viminalis,Bee
Andrena chrysosceles,Sambucus nigra,Bee
Andrena chrysosceles,Sorbus aria,Bee
Andrena chrysosceles,Sorbus aucuparia,Bee
Andrena chrysosceles,Stellaria holostea,Bee
Andrena chrysosceles,Taraxacum,Bee
Andrena chrysosceles,Veronica chamaedrys,Bee
Andrena cineraria,Aegopodium podagraria,Bee
Andrena cineraria,Anthriscus sylvestris,Bee
Andrena cineraria,Armeria maritima,Bee
Andrena cineraria,Bellis perennis,Bee
Andrena cineraria,Brassica napus,Bee
Andrena cineraria,Brassica oleracea,Bee
Andrena cineraria,Conium maculatum,Bee
Andrena cineraria,Crataegus monogyna,Bee
Andrena cineraria,Cytisus scoparius,Bee
Andrena cineraria,Euphorbia amygdaloides,Bee
Andrena cineraria,Ficaria verna,Bee
Andrena cineraria,Filipendula vulgaris,Bee
Andrena cineraria,Hedera helix,Bee
Andrena cineraria,Heracleum sphondylium,Bee
Andrena cineraria,Oenanthe crocata,Bee
Andrena cineraria,Potentilla erecta,Bee
Andrena cineraria,Prunus spinosa,Bee
Andrena cineraria,Raphanus raphanistrum,Bee
Andrena cineraria,Rhamnus cathartica,Bee
Andrena cineraria,Salix alba,Bee
Andrena cineraria,Salix aurita,Bee
Andrena cineraria,Salix caprea,Bee
Andrena cineraria,Salix cinerea,Bee
Andrena cineraria,Salix fragilis,Bee
Andrena cineraria,Salix pentandra,Bee
Andrena cineraria,Salix repens,Bee
Andrena cineraria,Salix viminalis,Bee
Andrena cineraria,Sinapis arvensis,Bee
Andrena cineraria,Sorbus aucuparia,Bee
Andrena cineraria,Taraxacum,Bee
Andrena cineraria,Ulex europaeus,Bee
Andrena cineraria,Ulex gallii,Bee
Andrena cineraria,Ulex minor,Bee
Andrena cineraria,Vaccinium myrtillus,Bee
Andrena cineraria,Veronica chamaedrys,Bee
Andrena cineraria,Veronica officinalis,Bee
Andrena cineraria,Vicia faba,Bee
Andrena clarkella,Angelica sylvestris,Bee
Andrena clarkella,Crataegus monogyna,Bee
Andrena clarkella,Ficaria verna,Bee
Andrena clarkella,Salix alba,Bee
Andrena clarkella,Salix aurita,Bee
Andrena clarkella,Salix caprea,Bee
Andrena clarkella,Salix cinerea,Bee
Andrena clarkella,Salix fragilis,Bee
Andrena clarkella,Salix pentandra,Bee
Andrena clarkella,Salix repens,Bee
Andrena clarkella,Salix viminalis,Bee
Andrena clarkella,Ulex europaeus,Bee
Andrena clarkella,Ulex gallii,Bee
Andrena clarkella,Ulex minor,Bee
Andrena coitana,Heracleum sphondylium,Bee
Andrena coitana,Rubus caesius,Bee
Andrena coitana,Rubus fruticosus,Bee
Andrena coitana,Rubus idaeus,Bee
